ncsClCd,KECO,name
15090401,8121.0,항공기 정비원
15090402,283.0,자재·구매·물류 사무원
15090403,283.0,자재·구매·물류 사무원
15090403,8121.0,항공기 정비원
15100001,1511.0,기계공학 기술자 및 연구원
15100001,8131.0,금형원
15100101,1511.0,기계공학 기술자 및 연구원
15100101,8131.0,금형원
15100102,8131.0,금형원
15100103,8131.0,금형원
15100104,8131.0,금형원
15100201,1511.0,기계공학 기술자 및 연구원
15100201,8131.0,금형원
15100202,8131.0,금형원
15100203,8131.0,금형원
15100204,8131.0,금형원
15100301,1511.0,기계공학 기술자 및 연구원
15100301,8131.0,금형원
15100302,8131.0,금형원
15100303,8131.0,금형원
15100304,8131.0,금형원
15110101,1511.0,기계공학 기술자 및 연구원
15110101,1531.0,전기공학 기술자 및 연구원
15110101,1532.0,전자공학 기술자 및 연구원
15110201,1343.0,정보시스템 운영자
15110201,8329.0,기타 전기·전자 기기 설치·수리원
15110201,8422.0,통신장비 설치·수리원
15110301,284.0,생산·품질 사무원
15110301,1343.0,정보시스템 운영자
15110301,1511.0,기계공학 기술자 및 연구원
15110302,1343.0,정보시스템 운영자
15110302,8111.0,공업기계 설치·정비원
15110302,8422.0,통신장비 설치·수리원
16010101,1521.0,금속·재료공학 기술자 및 연구원
16010102,1521.0,금속·재료공학 기술자 및 연구원
16010102,1522.0,금속·재료공학 시험원
16010103,1521.0,금속·재료공학 기술자 및 연구원
16010103,1522.0,금속·재료공학 시험원
16010200,8211.0,금속가공 제어장치 조작원
16010200,8212.0,금속가공 기계 조작원
16010201,8211.0,금속가공 제어장치 조작원
16010203,8212.0,금속가공 기계 조작원
16010204,8212.0,금속가공 기계 조작원
16010207,8111.0,공업기계 설치·정비원
16010207,8311.0,산업 전기공
16010208,8211.0,금속가공 제어장치 조작원
16010209,8211.0,금속가공 제어장치 조작원
16010210,8211.0,금속가공 제어장치 조작원
16010211,8211.0,금속가공 제어장치 조작원
16010301,1521.0,금속·재료공학 기술자 및 연구원
16010301,8233.0,주조원
16010301,8234.0,주조기조작원
16010302,1521.0,금속·재료공학 기술자 및 연구원
16010302,8131.0,금형원
16010302,8212.0,금속가공 기계 조작원
16010302,8231.0,단조원
16010302,8232.0,단조기조작원
16010303,1521.0,금속·재료공학 기술자 및 연구원
16010303,8212.0,금속가공 기계 조작원
16010304,8212.0,금속가공 기계 조작원
16010305,8221.0,판금원
16010305,8222.0,판금기조작원
16010305,8223.0,제관원
16010305,8224.0,제관기조작원
16010306,8212.0,금속가공 기계 조작원
16010306,8242.0,용접기조작원
16010307,8212.0,금속가공 기계 조작원
16010308,8233.0,주조원
16010308,8234.0,주조기조작원
16010401,8252.0,도금·금속분무기 조작원
16010402,8251.0,도장원(도장기조작원)
16010500,8241.0,용접원
16010500,8242.0,용접기조작원
16010501,8241.0,용접원
16010502,8241.0,용접원
16010502,8242.0,용접기조작원
16010503,8241.0,용접원
16010503,8242.0,용접기조작원
16010504,8241.0,용접원
16010504,8242.0,용접기조작원
16010505,8242.0,용접기조작원
16010506,8242.0,용접기조작원
16010507,8241.0,용접원
16010507,8242.0,용접기조작원
16010601,8211.0,금속가공 제어장치 조작원
16010601,8212.0,금속가공 기계 조작원
16010602,8211.0,금속가공 제어장치 조작원
16010602,8212.0,금속가공 기계 조작원
16010603,8212.0,금속가공 기계 조작원
16010604,8211.0,금속가공 제어장치 조작원
16010604,8212.0,금속가공 기계 조작원
16010605,8211.0,금속가공 제어장치 조작원
16010605,8212.0,금속가공 기계 조작원
16020001,284.0,생산·품질 사무원
16020001,1521.0,금속·재료공학 기술자 및 연구원
16020001,1522.0,금속·재료공학 시험원
