대분류(NCS),중분류(NCS),소분류(NCS),세분류(NCS),코드(KECO),세분류(KECO)
04. 교육·자연· 사회과학,03. 직업교육,01. 직업교육,03. 직무분석,0222,인사·노무 전문가
04. 교육·자연· 사회과학,03. 직업교육,01. 직업교육,03. 직무분석,0262,인사·교육·훈련 사무원
04. 교육·자연· 사회과학,03. 직업교육,02. 이러닝,01. 이러닝시스템개발,2151,장학관·연구관 및 교육 전문가
04. 교육·자연· 사회과학,03. 직업교육,02. 이러닝,02. 이러닝콘텐츠개발,1333,웹 개발자
04. 교육·자연· 사회과학,03. 직업교육,02. 이러닝,02. 이러닝콘텐츠개발,2151,장학관·연구관 및 교육 전문가
04. 교육·자연· 사회과학,03. 직업교육,02. 이러닝,02. 이러닝콘텐츠개발,4155,미디어 콘텐츠 디자이너
04. 교육·자연· 사회과학,03. 직업교육,02. 이러닝,03. 이러닝과정 (process)운영,0262,인사·교육·훈련 사무원
05. 법률·경찰· 소방·교도·국방,01. 법률,01. 법무,01. 법무,2211,판사 및 검사
05. 법률·경찰· 소방·교도·국방,01. 법률,01. 법무,01. 법무,2212,변호사
05. 법률·경찰· 소방·교도·국방,01. 법률,01. 법무,01. 법무,2213,법무사 및 집행관
05. 법률·경찰· 소방·교도·국방,01. 법률,01. 법무,01. 법무,2220,법률 사무원
05. 법률·경찰· 소방·교도·국방,01. 법률,01. 법무,02. 인권,2212,변호사
05. 법률·경찰· 소방·교도·국방,01. 법률,01. 법무,02. 인권,2220,법률 사무원
05. 법률·경찰· 소방·교도·국방,01. 법률,01. 법무,03. 출입국관리,0254,국가·지방행정 사무원
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,01. 지식재산관리,2214,변리사
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,01. 지식재산관리,2220,법률 사무원
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,02. 지식재산평가·거래,2214,변리사
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,02. 지식재산평가·거래,2220,법률 사무원
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,03. 지식재산정보조사 분석,2214,변리사
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,03. 지식재산정보조사 분석,2220,법률 사무원
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,04. 특허엔지니어링,2214,변리사
05. 법률·경찰· 소방·교도·국방,01. 법률,02. 지식재산관리,04. 특허엔지니어링,2220,법률 사무원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,01. 소방시설설계·감리,1582,소방공학 기술자 및 연구원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,02. 소방시설공사,1582,소방공학 기술자 및 연구원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,02. 소방시설공사,7031,건설 배관공
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,02. 소방시설공사,8312,내선 전기공
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,03. 구조구급,2402,소방관
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,03. 구조구급,3071,응급구조사
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,04. 소방안전관리,1582,소방공학 기술자 및 연구원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,04. 소방안전관리,1583,소방공학 시험원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,05. 위험물운송·운반관리,1584,산업 안전원 및 위험 관리원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,06. 위험물안전관리,1584,산업 안전원 및 위험 관리원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,01. 소방,07. 화재감식평가,2402,소방관
05. 법률·경찰· 소방·교도·국방,02. 소방방재,02. 방재,01. 방재시설,1403,토목공학 기술자
05. 법률·경찰· 소방·교도·국방,02. 소방방재,02. 방재,01. 방재시설,1581,방재 기술자 및 연구원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,02. 방재,01. 방재시설,1584,산업 안전원 및 위험 관리원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,02. 방재,02. 기업재난관리,1584,산업 안전원 및 위험 관리원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,02. 방재,03. 방재안전대책관리,1581,방재 기술자 및 연구원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,02. 방재,03. 방재안전대책관리,1584,산업 안전원 및 위험 관리원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,02. 방재,03. 방재안전대책관리,2402,소방관
05. 법률·경찰· 소방·교도·국방,02. 소방방재,03. 스마트재난관리,01. 스마트재난위험예측,1581,방재 기술자 및 연구원
05. 법률·경찰· 소방·교도·국방,02. 소방방재,03. 스마트재난관리,02. 스마트재난관리설계,1581,방재 기술자 및 연구원
06. 보건·의료,01. 보건,01. 의료기술지원,01. 의료기기관리,3067,재활공학 기사
06. 보건·의료,01. 보건,01. 의료기술지원,01. 의료기기관리,8329,기타 전기·전자 기기 설치· 수리원
06. 보건·의료,01. 보건,01. 의료기술지원,02. 물리치료,3065,물리 및 작업 치료사
06. 보건·의료,01. 보건,01. 의료기술지원,03. 작업치료,3065,물리 및 작업 치료사
06. 보건·의료,01. 보건,01. 의료기술지원,04. 방사선검사,3062,방사선사
06. 보건·의료,01. 보건,01. 의료기술지원,05. 임상병리검사,3061,임상병리사
06. 보건·의료,01. 보건,01. 의료기술지원,06. 시각관리,3069,기타 치료·재활사 및 의료기사
06. 보건·의료,01. 보건,01. 의료기술지원,07. 응급구조,3071,응급구조사
06. 보건·의료,01. 보건,01. 의료기술지원,08. 요양지원,5501,요양 보호사 및 간병인
06. 보건·의료,01. 보건,01. 의료기술지원,09. 의지보조기제작·관리,3067,재활공학 기사
06. 보건·의료,01. 보건,01. 의료기술지원,10. 청각관리,3069,기타 치료·재활사 및 의료기사
06. 보건·의료,01. 보건,01. 의료기술지원,11. 치과위생,3064,치과위생사
06. 보건·의료,01. 보건,01. 의료기술지원,12. 치과기공,3063,치과기공사
06. 보건·의료,01. 보건,01. 의료기술지원,13. 임상심리,3066,임상심리사
06. 보건·의료,01. 보건,01. 의료기술지원,14. 의료정보관리,3074,의무기록사
06. 보건·의료,01. 보건,02. 보건지원,01. 병원행정,0263,총무 사무원 및 대학 행정조교
06. 보건·의료,01. 보건,02. 보건지원,02. 병원안내,0291,안내·접수원 및 전화교환원
06. 보건·의료,01. 보건,02. 보건지원,03. 보건교육,3040,간호사
06. 보건·의료,01. 보건,02. 보건지원,04. 의료시설위생관리,1555,보건위생·환경 검사원
06. 보건·의료,01. 보건,02. 보건지원,04. 의료시설위생관리,3072,위생사
06. 보건·의료,01. 보건,02. 보건지원,05. 지역사회위생관리,1555,보건위생·환경 검사원
06. 보건·의료,01. 보건,02. 보건지원,05. 지역사회위생관리,3072,위생사
06. 보건·의료,01. 보건,02. 보건지원,06. 영양관리,3050,영양사
06. 보건·의료,01. 보건,03. 법무,01. 양약조제,3030,약사 및 한약사
06. 보건·의료,01. 보건,03. 법무,02. 한약조제,3030,약사 및 한약사
06. 보건·의료,02. 의료,01. 임상의학,01. 양의학치료,3011,전문 의사
06. 보건·의료,02. 의료,01. 임상의학,02. 한의학치료,3013,한의사
06. 보건·의료,02. 의료,01. 임상의학,03. 치과치료,3014,치과 의사
06. 보건·의료,02. 의료,02. 간호,01. 임상간호,3040,간호사
06. 보건·의료,02. 의료,02. 간호,01. 임상간호,3075,간호조무사
06. 보건·의료,02. 의료,02. 간호,02. 지역사회간호,3040,간호사
06. 보건·의료,02. 의료,02. 간호,02. 지역사회간호,3075,간호조무사
06. 보건·의료,02. 의료,03. 기초의학,01. 예방의학,3011,전문 의사
06. 보건·의료,02. 의료,03. 기초의학,02. 병리학,1221,생명과학 연구원
06. 보건·의료,02. 의료,03. 기초의학,03. 유전학,1221,생명과학 연구원
06. 보건·의료,02. 의료,04. 임상지원,01. 영상의학,3011,전문 의사
06. 보건·의료,02. 의료,04. 임상지원,02. 임상병리,3061,임상병리사
06. 보건·의료,02. 의료,04. 임상지원,03. 감염관리,3040,간호사
06. 보건·의료,02. 의료,04. 임상지원,03. 감염관리,3061,임상병리사
06. 보건·의료,02. 의료,04. 임상지원,03. 감염관리,3075,간호조무사
06. 보건·의료,02. 의료,04. 임상지원,04. 대체의학,3069,기타 치료·재활사 및 의료기사
07. 사회복지·종교,01. 사회복지,01. 사회복지정책,01. 지역사회복지개발,2311,사회복지사
07. 사회복지·종교,01. 사회복지,01. 사회복지정책,02. 사회복지조직운영,2311,사회복지사
07. 사회복지·종교,01. 사회복지,01. 사회복지정책,03. 공공복지,2311,사회복지사
07. 사회복지·종교,01. 사회복지,02. 사회복지서비스,01. 사회복지프로그램운영,2311,사회복지사
07. 사회복지·종교,01. 사회복지,02. 사회복지서비스,02. 일상생활기능지원,2311,사회복지사
07. 사회복지·종교,01. 사회복지,02. 사회복지서비스,02. 일상생활기능지원,2329,기타 사회복지 종사원
07. 사회복지·종교,01. 사회복지,02. 사회복지서비스,02. 일상생활기능지원,5501,요양 보호사 및 간병인
07. 사회복지·종교,01. 사회복지,02. 사회복지서비스,03. 사회복지면담,2311,사회복지사
07. 사회복지·종교,01. 사회복지,02. 사회복지서비스,04. 사회복지사례관리,2311,사회복지사
07. 사회복지·종교,02. 상담,01. 직업상담서비스,01. 직업상담,2314,직업상담사
07. 사회복지·종교,02. 상담,01. 직업상담서비스,02. 취업알선,2314,직업상담사
07. 사회복지·종교,02. 상담,01. 직업상담서비스,03. 전직지원,0222,인사·노무 전문가
07. 사회복지·종교,02. 상담,01. 직업상담서비스,03. 전직지원,2314,직업상담사
07. 사회복지·종교,02. 상담,02. 청소년지도,01. 청소년활동,2313,청소년 지도사
07. 사회복지·종교,02. 상담,02. 청소년지도,02. 청소년상담복지,2313,청소년 지도사
07. 사회복지·종교,02. 상담,02. 청소년지도,03. 진로지원,2313,청소년 지도사
07. 사회복지·종교,02. 상담,02. 청소년지도,03. 진로지원,2314,직업상담사
07. 사회복지·종교,02. 상담,03. 심리상담,01. 심리상담,2312,상담 전문가
07. 사회복지·종교,03. 보육,01. 보육,01. 보육,2130,유치원 교사
07. 사회복지·종교,03. 보육,01. 보육,01. 보육,2153,교사보조 및 보육보조 서비스 종사원
07. 사회복지·종교,03. 보육,01. 보육,01. 보육,2321,보육교사
07. 사회복지·종교,03. 보육,01. 보육,02. 산후육아지원,5502,육아 도우미
07. 사회복지·종교,03. 보육,01. 보육,03. 아이돌봄,2130,유치원 교사
07. 사회복지·종교,03. 보육,01. 보육,03. 아이돌봄,2153,교사보조 및 보육보조 서비스 종사원
07. 사회복지·종교,03. 보육,01. 보육,03. 아이돌봄,2321,보육교사
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,01. 문화·예술기획,0261,기획·마케팅 사무원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,01. 문화·예술기획,4131,학예사 및 문화재 보존원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,02. 문화·예술행정,0210,정부·공공행정 전문가
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,02. 문화·예술행정,0254,국가·지방행정 사무원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,02. 문화·예술행정,0255,공공행정 사무원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,02. 문화·예술행정,0261,기획·마케팅 사무원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,02. 문화·예술행정,4131,학예사 및 문화재 보존원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,03. 문화·예술경영,0261,기획·마케팅 사무원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,03. 문화·예술경영,4131,학예사 및 문화재 보존원
08. 문화·예술· 디자인·방송,01. 문화·예술,01. 문화예술경영,04. 문헌정보관리,4132,사서 및 기록물 관리사
08. 문화·예술· 디자인·방송,01. 문화·예술,02. 실용예술,01. 실용음악,4145,"지휘자, 작곡가 및 연주가"
08. 문화·예술· 디자인·방송,01. 문화·예술,02. 실용예술,01. 실용음악,4146,가수 및 성악가
08. 문화·예술· 디자인·방송,01. 문화·예술,02. 실용예술,02. 실용사진,4142,사진작가 및 사진사
08. 문화·예술· 디자인·방송,01. 문화·예술,03. 공연예술,01. 무대연출,4161,감독 및 기술감독
08. 문화·예술· 디자인·방송,01. 문화·예술,03. 공연예술,02. 무대조명,4167,조명·영사 기사
08. 문화·예술· 디자인·방송,01. 문화·예술,03. 공연예술,03. 무대기계,7029,기타 건축 마감 기능원
08. 문화·예술· 디자인·방송,01. 문화·예술,03. 공연예술,03. 무대기계,8312,내선 전기공
08. 문화·예술· 디자인·방송,01. 문화·예술,03. 공연예술,04. 무대음향,4165,음향·녹음 기사
