소관 부처,자격종목,등급,자격관리자,공인유효기간(시작),공인유효기간(만료),기공인기간(시작),기공인기간(만료)
문화체육관광부,한국실용글쓰기검정,"1급, 2급, 준2급, 3급, 준3급",(사)한국국어능력평가협회,2022-01-01,2024-12-31,2007-12-21,2021-12-31
문화체육관광부,KBS한국어능력시험,"1급, 2+급, 2-급, 3+급, 3-급, 4+급",KBS한국방송공사,2023-01-23,2025-12-31,2009-01-23,2023-01-22
문화체육관광부,소프트웨어자산관리사(C-SAM),2급,(사)한국소프트웨어저작권협회,2023-01-13,2026-01-12,2015-01-13,2023-01-12
농림축산식품부,농어촌개발컨설턴트,등급없음,한국농어촌공사,2024-01-01,2028-12-31,2014-01-17,2023-12-31
농림축산식품부,반려견스타일리스트,"1급, 2급, 3급",(사)한국애견협회,2023-01-01,2025-12-31,2020-01-01,2022-12-31
산업통상자원부,무역영어,"1급, 2급, 3급",대한상공회의소,2023-01-01,2025-12-31,2000-12-22,2022-12-31
산업통상자원부,샵마스터,3급,(사)한국직업연구진흥원,2023-01-01,2024-12-31,2004-01-17,2022-12-31
산업통상자원부,지역난방설비관리사,등급없음,(사)한국에너지기술인협회 ,2021-09-30,2026-09-29,2005-01-26,2021-09-29
산업통상자원부,CS Leaders(관리사),등급없음,(사)한국정보평가협회,2024-01-07,2027-01-06,2009-01-07,2024-01-06
산업통상자원부,GTQ(그래픽기술자격),"1급, 2급",한국생산성본부,2020-01-01,2024-12-31,2009-09-30,2019-12-31
산업통상자원부,시스템에어컨설계시공관리사,등급없음,한국냉동공조산업협회,2024-01-01,2028-12-31,2011-11-29,2023-11-28
산업통상자원부,SMAT(서비스경영자격),"1급, 2급, 3급",한국생산성본부,2022-01-01,2024-12-31,2015-01-01,2021-12-31
산업통상자원부,산업보안관리사,등급없음,(사)한국산업기술보호협회,2022-01-01,2026-12-31,2017-01-01,2021-12-31
산업통상자원부,GTQi(그래픽기술자격일러스트),"1급, 2급",한국생산성본부,2021-01-01,2025-12-31,,
산업통상자원부,냉매취급관리사,등급없음,한국냉동공조산업협회,2024-01-01,2026-12-31,,
보건복지부,점역 교정사,"1급, 2급, 3급",(사)한국시각장애인연합회,2022-04-01,2027-03-31,2002-04-01,2022-03-31
보건복지부,병원행정사,등급없음,(사)대한병원행정관리자협회,2022-02-01,2027-01-31,2002-02-01,2022-01-31
보건복지부,보행지도사,등급없음,(사)한국시각장애인연합회,2023-05-01,2028-04-30,2021-05-01,2023-04-30
보건복지부,수화통역사,등급없음,(사)한국농아인협회,2021-02-20,2026-02-19,2006-02-20,2021-02-19
