job_title,texts
영업직 사원채용,"영업·판매·무역, 무관, 고졸, 정규직, 0명, 광주 북구, 근무형태 :, 주 5일 근무, (월~금), 근무시간 :, 08:30~18:00, 퇴직연금, 워크샵,연차,경조휴가제,반차,근로자의날 휴무,퇴직연금,건강검진,점심식사 제공,각종 경조사 지원,직책수당,회식강요 안함,야근강요 안함,명절선물/귀향비,회의실,자유복장,음료제공(차,커피),4대 보험,사무용품 지급, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[경력] 치과위생사 및 간호조무사(치과경력)정규직원 모집 공고,"의료, 경력, (최소 1년, 이상), 고졸, 정규직, 0명, 울산 울주군, 퇴직연금, 퇴직연금,인센티브제,점심식사 제공,명절선물/귀향비,생일선물/파티, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
미래병원 기획팀 [비서 및 경리] 구인,"회계·세무·재무,총무·법무·사무, 경력, (최소 1년, 이상), 학력무관, 정규직, 0명, 부산 동래구, 부산 4호선, 충렬사역, 0번출구, 300m, 근무형태 :, 주 5일 근무, (월~금), 근무시간 :, 09:00~18:00, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
중고등부 수학 강사 모집합니다(정규직),"교육, 무관, 대졸(4년), 정규직, 0명, 대구 수성구, 대구 2호선, 수성구청역, 0번출구, 200m, 근무형태 :, 15:00~22:00, 퇴직금, 퇴직금,회식강요 안함,명절선물/귀향비, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
"간호조무사 신입, 경력자 채용함.","의료, 무관, 고졸, 정규직, 0명, 부산 동래구, 부산 1호선, 온천장역, 0번출구, 500m, 퇴직연금, 연차,퇴직연금,퇴직금,건강검진,점심식사 제공,저녁식사 제공,각종 경조사 지원,사내동호회 운영,야근수당,명절선물/귀향비,생일선물/파티,휴게실,수면실,유니폼지급,아침식사 제공,음료제공(차,커피),주차비지원,자녀학자금,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
광주아주병원 작업치료사  모집공고,"의료, 무관, 대졸(2~3년), 정규직, 0명, 광주 북구, 근무형태 :, 주 5일 근무, (월~금), 근무시간 :, 09:00~18:00, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
한솔신약(주) 의약품생산직 모집 (경력무관),"생산, 무관, 학력무관, 정규직, 0명, 충북 음성군, 근무형태 :, 주 5일 근무, (월~금), 근무시간 :, 08:30~17:30, 퇴직연금, 우수사원시상식,신규 입사자 교육(OJT),퇴직연금,장기근속자 포상,우수사원포상,퇴직금,기숙사 운영,구내식당(사원식당),통근버스 운행,점심식사 제공,단체 상해보험,성과급,야근수당,연차수당,회사차량 있음,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[판교메디피움] 홍보팀에서 재능있는 팀원을 모집합니다.,"마케팅·홍보·조사,디자인, 무관, 학력무관, 정규직, 0명, 경기 성남시 분당구, 근무형태 :, 주 5일 근무, (월~금), 퇴직연금, 연차,반차,퇴직연금,건강검진,회식강요 안함,휴게실,회의실,공기청정기,장애인 화장실,음료제공(차,커피),4대 보험,사무용품 지급, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
마케팅 담당 & 경영지원 담당 채용,"마케팅·홍보·조사,총무·법무·사무, 무관, 학력무관, 정규직, 0명, 서울 강북구, 수도권 4호선, 미아역, 0번출구, 800m, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[대표가 직접 쓴 공고] 정부지원사업 기획 및 경영지원 담당자,"기획·전략,회계·세무·재무,총무·법무·사무,인사·노무·HRD, 경력, (최소 1년, 이상), 학력무관, 정규직, 0명, 서울 강서구, 수도권 5호선, 발산역, 0번출구, 500m, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
